TF	Target	EdgeWeight
POU5F1	CEP85L	0.013093401677906513
TRIM28	DUSP4	0.01309140957891941
CTNNB1	EGF	0.013087006285786629
ZFP42	PDCD11	0.013086617924273014
ZFP42	ALS2CR8	0.013085020706057549
TP53	STAT3	0.01308464352041483
POU5F1	ANXA3	0.013083661906421185
CTNNB1	ERCC-00092	0.013083399273455143
TRIM28	POLR3E	0.013082546181976795
TRIM28	APEX1	0.013081233948469162
TP53	PSMD9	0.013080802746117115
CTNNB1	RND3	0.013080389238893986
CTNNB1	SLC19A2	0.013078520074486732
POU5F1	PIK3R5	0.013077650219202042
CTNNB1	DAAM1	0.013076677918434143
CTNNB1	CSRP2	0.013074483722448349
CTNNB1	NFATC3	0.013073126785457134
TP53	FUS	0.013072437606751919
TP53	MED14	0.01307002268731594
ZFP42	EEF1A1	0.013068881817162037
TP53	PSIP1	0.013068005442619324
TRIM28	JMJD1C	0.013067116029560566
TRIM28	TEAD1	0.013065221719443798
TRIM28	SNAPC3	0.01306409202516079
CTNNB1	RBBP8	0.013063976541161537
POU5F1	ASH2L	0.013060256838798523
TP53	POLR2A	0.013057391159236431
TRIM28	WDR3	0.01305724773555994
CTNNB1	SCD5	0.01305575855076313
TRIM28	RBPJ	0.013055671006441116
POU5F1	TIMP3	0.013054565526545048
ZFP42	ZNF160	0.013053753413259983
CTNNB1	SOS2	0.01305172685533762
TRIM28	SHOX	0.013050144538283348
POU5F1	CSDE1	0.013049446046352386
CTNNB1	SHOX2	0.013048157095909119
ZFP42	ALYREF	0.013048087246716022
POU5F1	PELI2	0.013047563843429089
POU5F1	ZFYVE16	0.013044186867773533
POU5F1	ERCC-00131	0.013041446916759014
NANOG	DNMT3B	0.013040486723184586
TRIM28	POLR2K	0.013037771917879581
TRIM28	MED14	0.013037738390266895
POU5F1	TNC	0.013037009164690971
NANOG	BMPR1A	0.013036376796662807
POU5F1	C12ORF23	0.013034750707447529
TP53	NLGN4X	0.013034212402999401
CTNNB1	E2F7	0.013032718561589718
EOMES	COBLL1	0.013032333925366402
CTNNB1	SNRPB	0.013027829118072987
JUND	HEG1	0.01302773505449295
JUND	COL4A1	0.013027479872107506
ZFP42	FAM117B	0.013025657273828983
TP53	POLR2I	0.013023831881582737
POU5F1	ACOX3	0.013023769482970238
EOMES	PITX2	0.013023757375776768
CTNNB1	LIMCH1	0.01302363071590662
EOMES	CYP26A1	0.013022196479141712
CTNNB1	ANKMY2	0.013019325211644173
ZFP42	MEX3C	0.013016710989177227
TP53	CHAF1A	0.013015669770538807
POU5F1	MYBBP1A	0.013014211319386959
CTNNB1	CRX	0.013014107942581177
CTNNB1	ZBTB38	0.013014034368097782
POU5F1	ZFPM2	0.013012020848691463
JUND	TRIM28	0.013011991046369076
TRIM28	CBFA2T2	0.013010784052312374
TP53	HIF3A	0.01300924364477396
TRIM28	PITX2	0.013009088113904
TRIM28	MRPS30	0.013008981011807919
POU5F1	CENPK	0.013006901368498802
CTNNB1	NFATC1	0.013005929999053478
TP53	GTF2H2	0.013004433363676071
CTNNB1	ETV7	0.013003068044781685
CTNNB1	CDK6	0.013002580963075161
TRIM28	HEG1	0.013001816347241402
POU5F1	SRSF10	0.013000709936022758
TP53	POLB	0.013000624254345894
POU5F1	E2F7	0.012997903861105442
POU5F1	ZCCHC11	0.012997083365917206
POU5F1	C11ORF46	0.012997076846659184
TRIM28	FST	0.012996881268918514
CTNNB1	EOMES	0.012995661236345768
NANOG	TP53	0.012994932942092419
CTNNB1	SRC	0.01299484632909298
CTNNB1	CXXC1	0.012993826530873775
TP53	CSRP2	0.012993617914617062
CTNNB1	WLS	0.012989399023354053
TP53	MAFF	0.012987937778234482
CTNNB1	CCDC141	0.012987731955945492
NANOG	FZD5	0.012985443696379662
TP53	THY1	0.012984937988221645
POU5F1	RPE	0.012984760105609894
CTNNB1	ENC1	0.01298237219452858
TRIM28	TAF1L	0.012981614097952843
EOMES	BMP2	0.012980450876057148
CTNNB1	ZBTB2	0.012979909777641296
POU5F1	DDHD2	0.01297943014651537
CTNNB1	TP53INP1	0.012978794984519482
POU5F1	DUSP4	0.01297850999981165
CTNNB1	CCDC82	0.01297847181558609
POU5F1	COL4A1	0.01297537051141262
EOMES	TBX3	0.012973613105714321
POU5F1	SEMA5A	0.012970377691090107
EOMES	ZIC3	0.012969990260899067
TRIM28	CD9	0.01296912133693695
TRIM28	PDGFA	0.012969005852937698
ZFP42	DRAM2	0.012966986745595932
CTNNB1	CPVL	0.012966922484338284
EOMES	ELL2	0.012965862639248371
CTNNB1	PRMT6	0.01296519860625267
TP53	PDCD11	0.012964815832674503
CTNNB1	BTF3	0.012964360415935516
POU5F1	DNAAF2	0.012963867746293545
TRIM28	ZEB2	0.012962302193045616
CTNNB1	FOXH1	0.012962009757757187
POU5F1	SENP7	0.01295896153897047
EOMES	SERHL2	0.012958894483745098
CTNNB1	PLOD2	0.012958435341715813
EOMES	ZEB1	0.012957850471138954
POU5F1	TIMM8A	0.012957742437720299
POU5F1	KLHL4	0.012957370840013027
POU5F1	NUAK1	0.012956100516021252
CTNNB1	NUP35	0.012954565696418285
POU5F1	SLITRK2	0.012952215038239956
CTNNB1	HLA-DQB1	0.012948880903422832
CTNNB1	NFKBIB	0.012948769144713879
EOMES	NRIP1	0.012948720715939999
CTNNB1	PNPLA8	0.012946495786309242
POU5F1	TP53INP1	0.012943903915584087
CTNNB1	SNX16	0.012942888773977757
POU5F1	FLRT3	0.012941304594278336
CTNNB1	KIAA1109	0.01294062938541174
CTNNB1	FOXJ2	0.012938293628394604
CTNNB1	CDH11	0.012937996536493301
NANOG	PDGFA	0.012935210950672626
POU5F1	TPD52	0.012932606972754002
CTNNB1	ALS2CR8	0.012932498939335346
CTNNB1	FBXO28	0.012928766198456287
NANOG	TAF1L	0.012927277013659477
EOMES	ID1	0.012926534749567509
POU5F1	H1F0	0.012923364527523518
TP53	EEF1A1	0.012921021319925785
POU5F1	CDCA2	0.012920757755637169
CTNNB1	WNT5A	0.012920686043798923
TRIM28	DNAAF2	0.012919816188514233
POU5F1	KIAA1324L	0.012918355874717236
TRIM28	LRAT	0.01291645597666502
CTNNB1	GRPR	0.012916162610054016
ZFP42	DPF2	0.012915867380797863
CTNNB1	ERCC-00136	0.012915648519992828
TRIM28	PALLD	0.01291439775377512
POU5F1	ERCC-00053	0.012914053164422512
CTNNB1	CCDC81	0.012911940924823284
TP53	PRDM1	0.012909715995192528
TRIM28	ARHGAP29	0.012909485958516598
POU5F1	PRTG	0.012908844277262688
TP53	PHLDA1	0.012907955795526505
ZFP42	ABLIM1	0.012906458228826523
MLLT3	RSPO3	0.012906298041343689
EOMES	GYPB	0.012904427014291286
ZFP42	TRIM33	0.012903702445328236
CTNNB1	PHB2	0.01290227472782135
EOMES	CER1	0.012901918962597847
CTNNB1	RNF138	0.012901040725409985
TRIM28	NTS	0.012900134548544884
ZFP42	HMGA1	0.012897691689431667
POU5F1	PBX1	0.01289731077849865
TRIM28	MAFF	0.012895924970507622
TP53	ST8SIA4	0.012895620428025723
EOMES	ODC1	0.012895011343061924
POU5F1	TFAP2A	0.012894894927740097
POU5F1	BMP4	0.012893744744360447
CTNNB1	TJP2	0.012892693281173706
POU5F1	ANKZF1	0.012892649509012699
TP53	BLM	0.012892602011561394
TRIM28	EHMT2	0.01289227046072483
JUND	QPCT	0.012892056256532669
CTNNB1	SPIB	0.012891118414700031
CTNNB1	SOX7	0.012891024351119995
POU5F1	DNAJB14	0.012888306751847267
CTNNB1	INSIG2	0.012887408956885338
TP53	FOXK1	0.012887309305369854
CTNNB1	CHEK2	0.012887166813015938
TP53	VHL	0.012886407785117626
CTNNB1	BMPER	0.012885240837931633
TRIM28	ID1	0.012885158881545067
CTNNB1	ANKZF1	0.012882336042821407
TRIM28	TLE1	0.012881799601018429
CTNNB1	RNF19A	0.012880897149443626
ZFP42	DMBX1	0.012880890630185604
CTNNB1	MYCN	0.012880858033895493
CTNNB1	KLHL12	0.012880399823188782
TRIM28	ZEB1	0.012878070585429668
NANOG	KAT7	0.012874465435743332
POU5F1	ERCC-00074	0.01287425123155117
TRIM28	PATZ1	0.012873955070972443
TRIM28	CREB3L2	0.01287342980504036
EOMES	SHOX2	0.012869877740740776
POU5F1	ERCC-00165	0.012869341298937798
TRIM28	CSDE1	0.012868032790720463
ZFP42	FUBP1	0.012868000194430351
EOMES	BMP4	0.01286525372415781
CTNNB1	WDR5	0.01286396849900484
TP53	RBMX	0.012863650918006897
TRIM28	SOX13	0.01286335289478302
EOMES	DUSP4	0.012863310985267162
EOMES	B4GALT4	0.012862574309110641
CTNNB1	ARHGAP42	0.012861285358667374
CTNNB1	HRSP12	0.012860076501965523
CTNNB1	LRR1	0.012858184054493904
CTNNB1	TMF1	0.01285790279507637
TP53	LRAT	0.012856806628406048
TRIM28	GLMN	0.012855996377766132
CTNNB1	FLRT3	0.01285550370812416
POU5F1	TCF19	0.012855147942900658
CTNNB1	DNA2	0.012854183092713356
POU5F1	RND3	0.012852301821112633
CTNNB1	DPH2	0.012851633131504059
MLLT3	TFPI	0.012851070612668991
CTNNB1	PGM2	0.012850835919380188
CTNNB1	LRIG3	0.01284966804087162
POU5F1	ERCC-00004	0.012849201448261738
EOMES	FBXO34	0.012847645208239555
POU5F1	NEDD4	0.012845944613218307
CTNNB1	TLR4	0.012843109667301178
POU5F1	NFIC	0.012838720344007015
POU5F1	MAGI3	0.012836350128054619
TRIM28	EOMES	0.012836053036153316
TP53	PTMA	0.012835770845413208
POU5F1	TMSB15B	0.012835058383643627
POU5F1	PRIM1	0.01283392682671547
CTNNB1	PDCD11	0.01283327303826809
TRIM28	PCDH10	0.01283293031156063
JUND	CDK6	0.012831330299377441
TRIM28	WLS	0.0128311263397336
CTNNB1	KLF6	0.012829592451453209
CTNNB1	MAGI3	0.012829137034714222
TRIM28	ETS1	0.012828507460653782
CTNNB1	SUPT16H	0.01282824669033289
CTNNB1	ANGPT2	0.012825270183384418
CTNNB1	MAFF	0.012824312783777714
TP53	SEMA3E	0.012824000790715218
TP53	ACTC1	0.012823657132685184
TP53	IRF1	0.012822045013308525
TP53	SLA2	0.012820995412766933
POU5F1	CNTRL	0.012819849886000156
POU5F1	MECOM	0.012819293886423111
CTNNB1	FAM69A	0.012817013077437878
EOMES	SAMD3	0.01281646452844143
CTNNB1	POLR2F	0.012815957888960838
GATA3	BAMBI	0.012812994420528412
CTNNB1	B3GNT5	0.012812463566660881
CTNNB1	TLR7	0.01281046960502863
POU5F1	ELOVL2	0.0128095094114542
CTNNB1	TTC27	0.012809444218873978
NANOG	ZFP42	0.012809370644390583
CTNNB1	ASXL1	0.012808707542717457
JUND	ANKRD26	0.012807479128241539
POU5F1	NAA15	0.012806503102183342
CTNNB1	TRIM27	0.012805404141545296
TRIM28	BMP2	0.012803888879716396
ZFP42	RAB31	0.012803344056010246
CTNNB1	TMEM131	0.01280306652188301
TP53	ZNF280B	0.012802005745470524
JUND	MDM4	0.012801701202988625
TRIM28	ZFHX3	0.01280160341411829
POU5F1	SERHL2	0.01280152052640915
TP53	RRN3	0.012801293283700943
TRIM28	LGR4	0.012800867669284344
TP53	RFXANK	0.012799595482647419
TP53	XRCC5	0.012794596143066883
JUND	SERTAD2	0.01279410533607006
TP53	ID3	0.012792418710887432
TP53	RBFOX2	0.012790709733963013
CTNNB1	PURA	0.012789503671228886
TRIM28	NANOG	0.012789228931069374
TRIM28	RAI1	0.012788324616849422
CTNNB1	SNX14	0.012788280844688416
ZFP42	NOL11	0.01278812438249588
TP53	PPM1H	0.012787987478077412
EOMES	PLOD2	0.012784231454133987
TRIM28	AES	0.012781575322151184
NANOG	CLDN10	0.012780030257999897
TP53	STC1	0.012779874727129936
POU5F1	ERCC6L	0.012778924778103828
TP53	SOX7	0.012777993455529213
EOMES	TIPARP	0.012776295654475689
CTNNB1	ESRRG	0.012773856520652771
CTNNB1	RPL17-C18ORF32	0.012773274444043636
TP53	FXR1	0.012772359885275364
CTNNB1	ESRP1	0.012771072797477245
CTNNB1	DEDD2	0.01277101133018732
JUND	SPPL2A	0.012770813889801502
CTNNB1	PDE3B	0.012768212705850601
POU5F1	LZTS1	0.01276817824691534
CTNNB1	ATF6	0.012767180800437927
CTNNB1	NFIA	0.012767131440341473
NANOG	TRIP6	0.012767096050083637
TRIM28	WDFY1	0.01276472769677639
TP53	ERCC-00022	0.01276462059468031
CTNNB1	POLR2I	0.012764300219714642
JUND	HNRNPD	0.012763622216880322
TP53	GLMN	0.012761769816279411
EOMES	DECR1	0.012761689722537994
CTNNB1	ISCA1	0.012761607766151428
ZFP42	SALL3	0.012761571444571018
CTNNB1	HOXB7	0.012760615907609463
EOMES	TDRD7	0.012760289944708347
TP53	ERCC-00009	0.012759645469486713
TP53	SLC35F1	0.012759442441165447
CTNNB1	HOMER1	0.01275943499058485
ZFP42	WDR5	0.012758015654981136
TRIM28	NFYB	0.012755177915096283
NANOG	GABRB3	0.012754696421325207
TRIM28	YAF2	0.012752791866660118
EOMES	CCKBR	0.012752057053148746
TP53	RAI14	0.012751679867506027
TRIM28	FLRT2	0.012749907560646534
POU5F1	SLC36A4	0.012748733162879944
POU5F1	RAI1	0.01274854689836502
TRIM28	SEMA5A	0.012748297303915024
ZFP42	HELZ	0.012746903114020824
CTNNB1	SOX2	0.012745083309710026
CTNNB1	NCAPG	0.012744107283651829
CTNNB1	SLC6A15	0.012743701227009296
CTNNB1	YAF2	0.012742448598146439
CTNNB1	DECR1	0.012741905637085438
CTNNB1	PPARGC1B	0.012735681608319283
ZFP42	PARP1	0.01273299753665924
EOMES	LIN28A	0.012731587514281273
ZFP42	UTP15	0.012731270864605904
TP53	JPH1	0.01273089274764061
TP53	RUVBL2	0.012728223577141762
TP53	EWSR1	0.012726801447570324
POU5F1	GRHL2	0.012726347893476486
TP53	GPR83	0.012722455896437168
ZFP42	SEMA6A	0.012719494290649891
POU5F1	BMPER	0.01271452009677887
TRIM28	TRDN	0.012714408338069916
EOMES	PRDM1	0.012713482603430748
POU5F1	ANKMY2	0.012713227421045303
CTNNB1	RUVBL2	0.012711269780993462
TP53	PATZ1	0.01270921342074871
TP53	GINS2	0.012709024362266064
EOMES	ALPK2	0.012709005735814571
TRIM28	CDCA2	0.012708106078207493
CTNNB1	ZFPM2	0.012704404070973396
POU5F1	ANKRD6	0.012704129330813885
POU5F1	ITGA5	0.012703301385045052
TP53	ZNF589	0.01270201988518238
TRIM28	AFF1	0.0127019751816988
CTNNB1	FREM1	0.012700742110610008
TP53	RNPS1	0.012700538150966167
JUND	NUCB2	0.012700485996901989
TP53	MCM7	0.012697089463472366
EOMES	NR3C1	0.012695888057351112
TRIM28	SFRP2	0.01269558072090149
TRIM28	CBX3	0.012695199809968472
CTNNB1	PA2G4	0.012693657539784908
POU5F1	ERCC-00002	0.012693236581981182
TP53	DPF2	0.012691566720604897
TRIM28	ASNS	0.012690436094999313
TP53	SEMA6A	0.012690436094999313
POU5F1	NUSAP1	0.012690071947872639
JUND	ACTC1	0.012689599767327309
CTNNB1	ERCC-00042	0.01268942840397358
TP53	ESCO2	0.012688529677689075
TRIM28	POLR1A	0.012687214650213718
TRIM28	BCLAF1	0.012686686590313911
TRIM28	POLR2H	0.012686608359217644
ZFP42	NFYB	0.01268499344587326
CTNNB1	XRN1	0.012683963403105736
POU5F1	MAPK10	0.012683955952525139
POU5F1	IFI16	0.0126833850517869
CTNNB1	BHLHE40	0.012683331035077572
CTNNB1	ELL2	0.01268062274903059
TP53	CIITA	0.012680083513259888
EOMES	GYPE	0.012680081650614738
TRIM28	MRPL1	0.012679672800004482
TRIM28	TCF4	0.012678851373493671
CTNNB1	ZNF30	0.01267748698592186
POU5F1	TRIM25	0.012676790356636047
TP53	BAMBI	0.012673456221818924
POU5F1	CDK6	0.012672865763306618
NANOG	PHF17	0.01267255935817957
CTNNB1	CA2	0.012671499513089657
NANOG	CBX3	0.01267060823738575
TP53	NAA15	0.012669909745454788
TRIM28	RAB31	0.012669757008552551
POU5F1	ERCC-00092	0.012669653631746769
CTNNB1	ZHX3	0.012668521143496037
TRIM28	UHRF1	0.01266819704324007
TRIM28	MLLT6	0.012667610310018063
CTNNB1	SNAI1	0.012663207948207855
JUND	PTMA	0.012662459164857864
JUND	DUSP4	0.012659294530749321
CTNNB1	MMP16	0.012658156454563141
NANOG	SALL2	0.012657273560762405
JUND	CTNNB1	0.012657099403440952
TRIM28	SNAI1	0.012653728015720844
EOMES	LIMD1	0.012653390876948833
TRIM28	RBBP8	0.012651507742702961
JUND	CBFA2T2	0.012651020660996437
TP53	RBBP8	0.012650997377932072
TP53	ZNF585B	0.012650962918996811
TP53	ST8SIA1	0.012650544755160809
ZFP42	NONO	0.012649476528167725
ZFP42	ERCC-00171	0.0126485675573349
ZFP42	JMJD1C	0.01264788955450058
PRDM1	SFRP1	0.012646996416151524
CTNNB1	EEF1A1	0.012645666487514973
TRIM28	ZNF24	0.012644379399716854
TRIM28	GTF2H2D	0.012642587535083294
POU5F1	COL1A2	0.012641961686313152
POU5F1	LPIN1	0.012641452252864838
JUND	ZKSCAN1	0.012640492059290409
NANOG	STAT2	0.012639167718589306
TRIM28	EPB41L3	0.012638703919947147
JUND	LIN28A	0.01263837143778801
TRIM28	CRX	0.01263828482478857
ZFP42	STAT3	0.012636840343475342
TRIM28	PPP1R9A	0.012635741382837296
TP53	ZHX3	0.012633515521883965
ZFP42	IRF1	0.012632537633180618
TRIM28	ANKRD26	0.012627693824470043
EOMES	LRIG3	0.012627221643924713
EOMES	CNKSR3	0.012625188566744328
TP53	CSDE1	0.012625030241906643
CTNNB1	DKK4	0.012624797411262989
TP53	CCDC82	0.012624695897102356
TP53	SNAPC4	0.012624615803360939
TP53	RRAS2	0.012623818591237068
EOMES	STIM2	0.012621492147445679
TRIM28	SUPT7L	0.012620021589100361
TP53	PARN	0.012618625536561012
TP53	ANKZF1	0.012615365907549858
TRIM28	MALT1	0.012611465528607368
CTNNB1	IRF1	0.01261000894010067
TRIM28	ZNF238	0.012609638273715973
POU5F1	FLRT2	0.012609574012458324
TP53	TFE3	0.012608194723725319
CTNNB1	RARG	0.012606937438249588
POU5F1	CDC20	0.012604563497006893
TP53	GABRB3	0.012604150921106339
EOMES	HIST1H1B	0.012604051269590855
JUND	E2F3	0.012601613998413086
CTNNB1	LMX1B	0.012601187452673912
EOMES	TNFRSF11B	0.012599755078554153
CTNNB1	MRPS35	0.012599391862750053
JUND	FN1	0.012597453780472279
MLLT3	FAM46A	0.012596288695931435
TP53	LMX1B	0.012595226988196373
CTNNB1	CLGN	0.012591873295605183
TP53	TRDN	0.012591233476996422
TP53	PBX1	0.012588392943143845
NANOG	SEMA3A	0.012587485834956169
TRIM28	RRAS2	0.012586825527250767
TP53	ANKRD13C	0.012586472555994987
CTNNB1	RFC3	0.012586119584739208
TP53	APEX1	0.012585087679326534
TP53	SMARCC1	0.01258482038974762
JUND	TBX3	0.012584120966494083
TP53	AGPAT5	0.01258237287402153
CTNNB1	ENO1	0.012582311406731606
TP53	ARID3B	0.012581991031765938
CTNNB1	ERCC-00022	0.012578773312270641
TP53	SAMD3	0.01257866621017456
CTNNB1	ASNS	0.012578310444951057
TRIM28	DPH2	0.012577660381793976
NANOG	ARID3B	0.012577028945088387
TRIM28	BMPR1A	0.012576612643897533
ZFP42	KAT7	0.012576272711157799
EOMES	KLHL6	0.012574682012200356
EOMES	OTX2	0.012574227526783943
TRIM28	TMEM131	0.012573784217238426
CTNNB1	MEF2D	0.012568458914756775
JUND	HMGA1	0.012568253092467785
CTNNB1	SPP1	0.012567884288728237
PRDM1	PTGR1	0.012567400932312012
POU5F1	STK3	0.012567318044602871
CTNNB1	POLR3E	0.012564651668071747
TRIM28	APBB2	0.012564489617943764
CTNNB1	ITGA5	0.01256412174552679
CTNNB1	ERCC-00095	0.012564039789140224
TRIM28	NFKBIA	0.012563660740852356
TRIM28	PSIP1	0.012563476338982582
TP53	ERCC-00113	0.012562851421535015
POU5F1	FN1	0.012562529183924198
CTNNB1	CDC20	0.012561802752315998
TRIM28	ZNF398	0.012561329640448093
EOMES	ATP11B	0.012560799717903137
CTNNB1	PRTG	0.012559760361909866
EOMES	ERBB4	0.012558987364172935
CTNNB1	DUSP10	0.012558439746499062
TRIM28	E2F4	0.012558044865727425
CTNNB1	NOL11	0.0125576788559556
POU5F1	ZEB1	0.012557568959891796
ZFP42	TRIM28	0.012554008513689041
TP53	SF1	0.012551768682897091
EOMES	AFF1	0.01255128812044859
TRIM28	ZNF516	0.012550693936645985
ZFP42	ASS1	0.012548324652016163
TP53	RAX2	0.012546653859317303
POU5F1	ZNF518B	0.012545612640678883
TP53	SFRP2	0.012545234523713589
JUND	ST8SIA4	0.012544998899102211
NANOG	HIF3A	0.012544885277748108
EOMES	GSC	0.012544600293040276
JUND	WDHD1	0.01254278514534235
CTNNB1	KIAA0528	0.01254148781299591
POU5F1	BCL11B	0.01254073716700077
TP53	SH3BGRL	0.012540503405034542
CTNNB1	ESCO2	0.012540322728455067
TRIM28	ACTC1	0.01253960095345974
EOMES	ARL4D	0.012538638897240162
JUND	GAD1	0.01253784541040659
TRIM28	NUAK1	0.012537812814116478
TP53	SYNE2	0.012537750415503979
CTNNB1	PRIC285	0.012537596747279167
JUND	MLL3	0.012536297552287579
NANOG	ITPR2	0.01253136433660984
NANOG	GLMN	0.012531180866062641
TRIM28	XRCC6	0.012530840002000332
POU5F1	KLF5	0.012530703097581863
EOMES	SULF2	0.012529918923974037
CTNNB1	RPP40	0.012529881671071053
ZFP42	MLLT6	0.012529582716524601
POU5F1	ERCC-00044	0.012527781538665295
NANOG	ID1	0.012526221573352814
TRIM28	COL1A2	0.012523653917014599
EOMES	TTC39B	0.012523531913757324
TRIM28	RAI14	0.01252345833927393
TP53	SRSF3	0.012522291392087936
CTNNB1	MEIS2	0.012521871365606785
CTNNB1	ATP2B4	0.012521542608737946
CTNNB1	ILF2	0.01252151932567358
EOMES	COL5A2	0.012521124444901943
TP53	MYBBP1A	0.012520942836999893
TRIM28	ISCA1	0.012520620599389076
TRIM28	TRAF6	0.012519833631813526
TP53	TEX10	0.012519183568656445
JUND	AEBP1	0.012517822906374931
POU5F1	SEMA6D	0.012517668306827545
CTNNB1	GCM1	0.012517590075731277
CTNNB1	ODC1	0.012517215684056282
ZFP42	CIITA	0.012513158842921257
TP53	RBBP4	0.012511719018220901
NANOG	CALB1	0.01251171249896288
TRIM28	GAD1	0.012508900836110115
TRIM28	ARID4B	0.012507369741797447
TRIM28	KIAA1109	0.012507245875895023
POU5F1	RPP40	0.012506801635026932
TRIM28	CLDN11	0.012505932711064816
DNMT3B	ZIC2	0.01250513270497322
PRDM1	STC1	0.012503577396273613
TRIM28	NFATC3	0.012502608820796013
POU5F1	PALLD	0.01250252965837717
POU5F1	ARFGAP3	0.012501799501478672
CTNNB1	LUM	0.01250104047358036
TP53	MBIP	0.012501033954322338
CTNNB1	ERCC-00108	0.012500935234129429
TP53	DNMT3B	0.012500805780291557
CTNNB1	KIF23	0.01249846164137125
NANOG	SLC35F1	0.012497903779149055
POU5F1	MCCC1	0.012497375719249249
TRIM28	SYNE2	0.01249676663428545
TP53	PRIM1	0.01249421201646328
CTNNB1	RUVBL1	0.012493790127336979
POU5F1	LEF1	0.012491057626903057
TRIM28	COL4A1	0.012490258552134037
TRIM28	PHLDB2	0.01248923595994711
JUND	CBR1	0.012488634325563908
ZFP42	SMARCC1	0.012487657368183136
EOMES	PGR	0.012487432919442654
ZFP42	CDCA8	0.012487141415476799
CTNNB1	MLF1IP	0.012487059459090233
JUND	TAF1L	0.012485509738326073
CTNNB1	NRP2	0.012485398910939693
EOMES	MATN3	0.012481441721320152
ZFP42	DEPDC1B	0.012476179748773575
NANOG	SOX4	0.012475277297198772
ZFP42	RBMX	0.012473844923079014
ZFP42	AK4	0.012472458183765411
EOMES	DCAF6	0.012471489608287811
POU5F1	SLC46A3	0.012470008805394173
JUND	YBX1	0.01246963907033205
JUND	SIPA1L2	0.012469216249883175
TRIM28	SOX7	0.012467112392187119
JUND	PPM1H	0.012466930784285069
JUND	COL5A1	0.01246470957994461
TP53	TIMP3	0.012464083731174469
TP53	ZNF516	0.012463974766433239
TP53	NR2C1	0.012462160550057888
NANOG	ZNF589	0.012461334466934204
TP53	ZNF471	0.012461329810321331
NANOG	TRAPPC8	0.012461088597774506
TP53	CUX1	0.012460007332265377
POU5F1	SOX2	0.01245768554508686
NANOG	STAT3	0.012457641772925854
TRIM28	RHOBTB3	0.012456674128770828
ZFP42	SLA2	0.012456671334803104
TRIM28	KIF23	0.012456006370484829
EOMES	NFKBIA	0.012454420328140259
TRIM28	CASD1	0.012453590519726276
JUND	MYBL2	0.012453071773052216
NANOG	USP44	0.012452403083443642
TRIM28	UTP15	0.012452206574380398
TP53	PTPRZ1	0.012451217509806156
CTNNB1	HOXB2	0.012450415641069412
EOMES	GPR83	0.012449748814105988
TP53	EZH2	0.012445635162293911
TP53	XRCC6	0.012441637925803661
CTNNB1	AR	0.012441178783774376
CTNNB1	RGPD2	0.01243995875120163
TP53	UBTF	0.012438535690307617
TP53	SNRPD1	0.01243775337934494
POU5F1	ANKRD50	0.012436420656740665
TP53	FAM46A	0.012435756623744965
CTNNB1	BCL11B	0.012435216456651688
CTNNB1	FLI1	0.012433149851858616
CTNNB1	NUCB2	0.012432519346475601
EOMES	JUND	0.01243224274367094
JUND	MYCT1	0.012432113289833069
TRIM28	ZBTB38	0.01243180688470602
CTNNB1	NCAM1	0.012431048788130283
TP53	RBM14	0.012430500239133835
CTNNB1	ZEB1	0.012430335395038128
JUND	CNTRL	0.012428713962435722
CTNNB1	GATA6	0.012427087873220444
TRIM28	ZIC2	0.012426924891769886
TRIM28	SNAPC4	0.012424835935235023
POU5F1	TRPS1	0.012424749322235584
TRIM28	IRF1	0.012424027547240257
ZFP42	HCFC1	0.01242329366505146
TRIM28	CRABP2	0.012422004714608192
TRIM28	DPF2	0.01242157444357872
JUND	ZNF24	0.01242136675864458
EOMES	MALT1	0.012421314604580402
TRIM28	ZNF160	0.012420384213328362
TRIM28	BTF3	0.012417872436344624
PRDM1	SEMA3E	0.012416920624673367
JUND	DNMT1	0.01241462491452694
TRIM28	ZIC3	0.012414450757205486
TP53	HLA-DRB1	0.012414069846272469
TP53	SUPT16H	0.012413405813276768
CTNNB1	MYOCD	0.012412517331540585
ZFP42	DNMT1	0.012412135489284992
POU5F1	CCNB2	0.01241141278296709
EOMES	EGF	0.01240980438888073
TRIM28	CXXC1	0.01240729633718729
TP53	WDHD1	0.012405979447066784
TRIM28	MCC	0.012405925430357456
TRIM28	TRIP11	0.01240499783307314
EOMES	SNX18	0.01240402739495039
TRIM28	POLR2G	0.012403753586113453
ZFP42	NTS	0.012403417378664017
CTNNB1	SLCO2A1	0.012402546592056751
TP53	MLLT3	0.012401377782225609
TP53	MBOAT1	0.012398041784763336
EOMES	PRSS35	0.012395867146551609
CTNNB1	TIMM8A	0.012395731173455715
TP53	ECI2	0.01239568181335926
CTNNB1	DSCC1	0.012394817546010017
ZFP42	ZNF587	0.012393924407660961
TP53	DMBX1	0.012392496690154076
CTNNB1	PHF21A	0.012392041273415089
NANOG	PRDM14	0.012389936484396458
POU5F1	RHOBTB3	0.0123896524310112
JUND	CAMK2D	0.012388785369694233
POU5F1	RHAG	0.012388438917696476
NANOG	MSANTD3-TMEFF1	0.012386216782033443
TP53	NUSAP1	0.012385904788970947
TRIM28	SKA3	0.012384792789816856
EOMES	LZTS1	0.012383335269987583
CTNNB1	SERPINE2	0.012381275184452534
ZFP42	TEX10	0.012381273321807384
JUND	SMARCC1	0.01237881276756525
TP53	TP53INP1	0.012378302402794361
POU5F1	TGFBR3	0.01237649004906416
